#node1	node2
hsa_circ_001903	hsa-mir-205
hsa_circ_001909	hsa-mir-1307
hsa_circ_001943	hsa-let-7c
hsa_circ_001965	hsa-mir-378c
hsa_circ_001988	hsa-mir-196b
hsa_circ_002009	hsa-mir-30a
hsa_circ_002009	hsa-mir-204
hsa_circ_002027	hsa-mir-135b
hsa_circ_002036	hsa-mir-136
hsa_circ_002038	hsa-mir-503
hsa_circ_002038	hsa-mir-424
hsa_circ_002038	hsa-mir-195
hsa_circ_002045	hsa-mir-93
hsa_circ_002045	hsa-mir-376c
hsa_circ_002048	hsa-mir-205
hsa_circ_002064	hsa-mir-503
hsa_circ_002064	hsa-mir-4326
hsa_circ_002064	hsa-mir-424
hsa_circ_002064	hsa-mir-195
hsa_circ_002064	hsa-mir-136
hsa_circ_002065	hsa-mir-377
hsa_circ_002070	hsa-mir-495
hsa_circ_002070	hsa-mir-183
hsa_circ_002079	hsa-mir-503
hsa_circ_002079	hsa-mir-4326
hsa_circ_002079	hsa-mir-424
hsa_circ_002079	hsa-mir-411
hsa_circ_002079	hsa-mir-377
hsa_circ_002079	hsa-mir-29c
hsa_circ_002079	hsa-mir-29a
hsa_circ_002079	hsa-mir-195
hsa_circ_002079	hsa-mir-136
hsa_circ_002092	hsa-mir-377
hsa_circ_002092	hsa-mir-30a
hsa_circ_002092	hsa-mir-224
hsa_circ_002097	hsa-mir-96
hsa_circ_002097	hsa-mir-224
hsa_circ_002103	hsa-mir-93
hsa_circ_002103	hsa-mir-205
hsa_circ_002103	hsa-mir-1301
hsa_circ_002130	hsa-mir-4326
hsa_circ_002132	hsa-mir-375
hsa_circ_002140	hsa-mir-135b
hsa_circ_002151	hsa-mir-431
hsa_circ_002151	hsa-mir-29c
hsa_circ_002151	hsa-mir-29a
hsa_circ_002178	hsa-mir-378c
hsa_circ_002178	hsa-mir-183
hsa_circ_002178	hsa-mir-136
