	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0087847	0	0.663747764	0.549000403	0.487322856	3.658751561	0.485919059
hsa_circ_0087828	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087765	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087653	2	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087641	2	0.663747764	3.549000403	2.487322856	0.658751561	0.485919059
hsa_circ_0087640	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0087631	1	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087630	1.584962501	2.248710265	3.356355325	0.487322856	0.658751561	0.485919059
hsa_circ_0087463	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087421	2.321928095	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087396	0	0.663747764	0.549000403	0.487322856	2.658751561	0.485919059
hsa_circ_0087391	2.584962501	3.985675859	2.549000403	2.809250951	0.658751561	0.485919059
hsa_circ_0087378	0	0.663747764	0.549000403	0.487322856	4.359191279	2.485919059
hsa_circ_0087357	2.807354922	4.123179383	3.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0087302	0	0.663747764	0.549000403	0.487322856	1.658751561	0.485919059
hsa_circ_0087243	0	3.471102686	3.718925404	0.487322856	2.658751561	0.485919059
hsa_circ_0087242	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087220	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087023	0	0.663747764	0.549000403	0.487322856	0.658751561	1.485919059
hsa_circ_0086754	2.584962501	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086740	0	0.663747764	0.549000403	0.487322856	0.658751561	1.485919059
hsa_circ_0086735	3.169925001	4.471102686	5.356355325	3.946754475	4.359191279	0.485919059
hsa_circ_0086732	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086724	1.584962501	2.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086709	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086598	0	0.663747764	0.549000403	0.487322856	2.980679655	0.485919059
hsa_circ_0086564	0	0.663747764	0.549000403	0.487322856	3.243714061	0.485919059
hsa_circ_0086420	2.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086414	0	0.663747764	0.549000403	0.487322856	0.658751561	2.485919059
hsa_circ_0086376	0	0.663747764	0.549000403	0.487322856	0.658751561	1.485919059
hsa_circ_0086342	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086203	0	0.663747764	0.549000403	0.487322856	0.658751561	1.485919059
hsa_circ_0086190	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086188	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0086051	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0085976	0	2.248710265	2.133962904	0.487322856	0.658751561	0.485919059
